# luci-app-videoplayer release codec manifest v1
# source_commit=80a4045b8fedc431467de9ad60416314b789fa79
# format|release|revision|architecture|asset|sha256|local_package_name
ipk|24.10.8|r29233-443ec4032a|i386_pentium-mmx|luci-videoplayer-codec-runtime_6.1.4-r5_i386_pentium-mmx.ipk|63245ea878a1563d497d30225776fc2b0c9820f1d44d643de20366809d85b211|luci-videoplayer-codec-runtime_6.1.4-r5_i386_pentium-mmx.ipk
apk|25.12.5|r33051-f5dae5ece4|i386_pentium4|luci-videoplayer-codec-runtime-6.1.4-r5_i386_pentium4.apk|9fa711759a252dafda06fd96fc9be88bcdc6acdd8d9bce04c095b664ac27e051|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|i386_pentium4|luci-videoplayer-codec-runtime_6.1.4-r5_i386_pentium4.ipk|22513c24f413666c034cecbebed7999b3678c35567f83847134537a95a8d4abd|luci-videoplayer-codec-runtime_6.1.4-r5_i386_pentium4.ipk
apk|25.12.5|r33051-f5dae5ece4|loongarch64_generic|luci-videoplayer-codec-runtime-6.1.4-r5_loongarch64_generic.apk|911e7364af7cbf5bef9dd56ccd372a202ecbf2054c99c8a89cf20417184b3972|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|loongarch64_generic|luci-videoplayer-codec-runtime_6.1.4-r5_loongarch64_generic.ipk|fd7fe07dab05b6c216571824724bf1a4e623245030cc535861f85e2834c988d5|luci-videoplayer-codec-runtime_6.1.4-r5_loongarch64_generic.ipk
apk|25.12.5|r33051-f5dae5ece4|mips_24kc|luci-videoplayer-codec-runtime-6.1.4-r5_mips_24kc.apk|79ccdc59d6b5de5c51293da261d0d0a2d449be0b972f02a7aea9a86da595af28|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mips_24kc|luci-videoplayer-codec-runtime_6.1.4-r5_mips_24kc.ipk|7053a1cadca36b88fcab93b2acb05214fdbd95914a4538f9f8a4dc3a280ec370|luci-videoplayer-codec-runtime_6.1.4-r5_mips_24kc.ipk
ipk|24.10.8|r29233-443ec4032a|mips_4kec|luci-videoplayer-codec-runtime_6.1.4-r5_mips_4kec.ipk|783b9f8366daa4e1bc9ecf6f75d2df6005e838796ac1c707d75135552994bcff|luci-videoplayer-codec-runtime_6.1.4-r5_mips_4kec.ipk
apk|25.12.5|r33051-f5dae5ece4|mips_mips32|luci-videoplayer-codec-runtime-6.1.4-r5_mips_mips32.apk|28467b1fc828c44eefe54768b7aca17841898d71a36610b0953e82e65a3b89d6|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mips_mips32|luci-videoplayer-codec-runtime_6.1.4-r5_mips_mips32.ipk|5a75b8c897c9e406f4713ff6357a4e552d8cded8b6a73bb0a1fa83dad9647527|luci-videoplayer-codec-runtime_6.1.4-r5_mips_mips32.ipk
apk|25.12.5|r33051-f5dae5ece4|mips64_mips64r2|luci-videoplayer-codec-runtime-6.1.4-r5_mips64_mips64r2.apk|8ba0197ab39f170f19d41aaa83516da2c6a5990ce0ae30e499596b5e3c137e03|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mips64_mips64r2|luci-videoplayer-codec-runtime_6.1.4-r5_mips64_mips64r2.ipk|a8c1fc89d392db64858c9d457a26360c834639f27d250e047836cd9da4364087|luci-videoplayer-codec-runtime_6.1.4-r5_mips64_mips64r2.ipk
apk|25.12.5|r33051-f5dae5ece4|mips64_octeonplus|luci-videoplayer-codec-runtime-6.1.4-r5_mips64_octeonplus.apk|e13b53c219e0d322c34c6d9882f59f8886afa6b18ac8138f593c8fbaf7193f58|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mips64_octeonplus|luci-videoplayer-codec-runtime_6.1.4-r5_mips64_octeonplus.ipk|ff371b515539ee6d13a5efd1b850afee308cc06417ec03cf680ed566f2b3d303|luci-videoplayer-codec-runtime_6.1.4-r5_mips64_octeonplus.ipk
apk|25.12.5|r33051-f5dae5ece4|mips64el_mips64r2|luci-videoplayer-codec-runtime-6.1.4-r5_mips64el_mips64r2.apk|e0def948791e8a402002a97da92187cd939a068c581155a1e785bf7673ad1812|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mips64el_mips64r2|luci-videoplayer-codec-runtime_6.1.4-r5_mips64el_mips64r2.ipk|927f8ec5dce21cd8176c835980156e56e786a3027b80c007ab69b39abb86d319|luci-videoplayer-codec-runtime_6.1.4-r5_mips64el_mips64r2.ipk
apk|25.12.5|r33051-f5dae5ece4|mipsel_24kc|luci-videoplayer-codec-runtime-6.1.4-r5_mipsel_24kc.apk|69c2d1558e5e59b69e42882ae35a0c43b7b32463aed1922cdb33c8becc50dde6|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mipsel_24kc|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_24kc.ipk|0c81bbaa8b906055e82abcd8ea07c67754ff06267c272f1db941267373e2df6f|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_24kc.ipk
apk|25.12.5|r33051-f5dae5ece4|mipsel_24kc_24kf|luci-videoplayer-codec-runtime-6.1.4-r5_mipsel_24kc_24kf.apk|010464632855732d8d1a566195dde4b010ba218067ef2ab6155ac795bccd942b|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mipsel_24kc_24kf|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_24kc_24kf.ipk|f36bbb3bd1f9b51fc88628f721148785ff75bfe148c7799fb1e055c42ff2ea4e|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_24kc_24kf.ipk
apk|25.12.5|r33051-f5dae5ece4|mipsel_74kc|luci-videoplayer-codec-runtime-6.1.4-r5_mipsel_74kc.apk|8a706122eeb4276dfa1da5177e55cdd3f6a2e314d73b2db934ef0618b9e9c577|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mipsel_74kc|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_74kc.ipk|c4dea0b34197ef5d34c827953199583f59058d6c4959fdd5a5548d084a8b71e4|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_74kc.ipk
apk|25.12.5|r33051-f5dae5ece4|mipsel_mips32|luci-videoplayer-codec-runtime-6.1.4-r5_mipsel_mips32.apk|9798983fdb3881bfcfa5a70809ff73052240f4571a86ae2017efbc1b6abd0f7d|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|mipsel_mips32|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_mips32.ipk|3fd3cdd318316709c0e228b46cb60447d6c41da847f9d09d9d32870083e88e70|luci-videoplayer-codec-runtime_6.1.4-r5_mipsel_mips32.ipk
apk|25.12.5|r33051-f5dae5ece4|powerpc_464fp|luci-videoplayer-codec-runtime-6.1.4-r5_powerpc_464fp.apk|1a1f70830bae374b07a7d7d7874fc88da1e422cb1d78b4ddfcf92972815a0c16|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|powerpc_464fp|luci-videoplayer-codec-runtime_6.1.4-r5_powerpc_464fp.ipk|d97528a2a4186a719223e079f85e2587b9eaa87150c2004cb867ada74c682fdb|luci-videoplayer-codec-runtime_6.1.4-r5_powerpc_464fp.ipk
apk|25.12.5|r33051-f5dae5ece4|powerpc_8548|luci-videoplayer-codec-runtime-6.1.4-r5_powerpc_8548.apk|88e62f225ea068a980c0466369c6f5801f80df379165d3ff7324dee5e06af799|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|powerpc_8548|luci-videoplayer-codec-runtime_6.1.4-r5_powerpc_8548.ipk|74324a833bfa7c5d8aad756c0295b1875615766a1d444905a7f531cd8a50edf1|luci-videoplayer-codec-runtime_6.1.4-r5_powerpc_8548.ipk
apk|25.12.5|r33051-f5dae5ece4|powerpc64_e5500|luci-videoplayer-codec-runtime-6.1.4-r5_powerpc64_e5500.apk|e748c32f4dc6685d58a657fdbe9be22fe60f9e0ecd4f07e77d1f1b7da52d4e7e|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|powerpc64_e5500|luci-videoplayer-codec-runtime_6.1.4-r5_powerpc64_e5500.ipk|00b2f81e7208a2a59737128378749a994e73739d7d906a6fbd66110a829321dc|luci-videoplayer-codec-runtime_6.1.4-r5_powerpc64_e5500.ipk
apk|25.12.5|r33051-f5dae5ece4|riscv64_generic|luci-videoplayer-codec-runtime-6.1.4-r5_riscv64_generic.apk|93894c047d968ca85efbee6edaf06eb372a9e03cbe44f5e0abcadaa3a522b407|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|riscv64_riscv64|luci-videoplayer-codec-runtime_6.1.4-r5_riscv64_riscv64.ipk|30df7e560b86f8ff9e45f824b9c27e04d479348677fc15ecedb44e5725a10225|luci-videoplayer-codec-runtime_6.1.4-r5_riscv64_riscv64.ipk
apk|25.12.5|r33051-f5dae5ece4|x86_64|luci-videoplayer-codec-runtime-6.1.4-r5_x86_64.apk|bc94650dbef8b86f4a5df7e1f67219e84df8164f0bb415079d53dadedf4485ce|luci-videoplayer-codec-runtime-6.1.4-r5.apk
ipk|24.10.8|r29233-443ec4032a|x86_64|luci-videoplayer-codec-runtime_6.1.4-r5_x86_64.ipk|af21e9eab4761b2fb40ac043f0b60f5f1c727519f4cc61aa679bce3e9f7ca08b|luci-videoplayer-codec-runtime_6.1.4-r5_x86_64.ipk
